Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,​Adaptation action,Action description,City Location,Country Location
36002,Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of Congo,Africa,Public,,2017,Declining water quality,Use of non-potable water outside,"Description :-Les projec-tions réalisées montrent en général que la RDC et la ville de Kinshasa en particu-lier ne présente pas une vulnérabilité en ressources en eau à l’horizon 2100 et ce, autant plus qu’elle est traversée par plusieurs et même par le fleuve Congo ; qu’elle déverse des milliers de mètres cube d’eaux douces par jour dans l’océan Atlantique. Mais malheureusement, il y a une vulnérabilité liée aux crises hydrométriques, im-putables aux changements climatiques. Des fortes pluies intenses et des crues extrêmes des rivières qui causent plus des pertes en vie humaines, provoquent des érosions ; détruisent des infrastructures et en-gloutissent des maisons. D’où, il y a un problème de pénuries d’accès à l’eau potable par la majorité de la population de la ville et la qualité de l’eau est affectée.","(-4.441931, 15.266293)","(-4.038333, 21.758664)"
36002,Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of Congo,Africa,Public,,2017,Inadequate or aging infrastructure,Use of non-potable water outside,"Description :-Les projec-tions réalisées montrent en général que la RDC et la ville de Kinshasa en particu-lier ne présente pas une vulnérabilité en ressources en eau à l’horizon 2100 et ce, autant plus qu’elle est traversée par plusieurs et même par le fleuve Congo ; qu’elle déverse des milliers de mètres cube d’eaux douces par jour dans l’océan Atlantique. Mais malheureusement, il y a une vulnérabilité liée aux crises hydrométriques, im-putables aux changements climatiques. Des fortes pluies intenses et des crues extrêmes des rivières qui causent plus des pertes en vie humaines, provoquent des érosions ; détruisent des infrastructures et en-gloutissent des maisons. D’où, il y a un problème de pénuries d’accès à l’eau potable par la majorité de la population de la ville et la qualité de l’eau est affectée.","(-4.441931, 15.266293)","(-4.038333, 21.758664)"
36002,Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of Congo,Africa,Public,,2017,Flooding,Use of non-potable water outside,"Description :-Les projec-tions réalisées montrent en général que la RDC et la ville de Kinshasa en particu-lier ne présente pas une vulnérabilité en ressources en eau à l’horizon 2100 et ce, autant plus qu’elle est traversée par plusieurs et même par le fleuve Congo ; qu’elle déverse des milliers de mètres cube d’eaux douces par jour dans l’océan Atlantique. Mais malheureusement, il y a une vulnérabilité liée aux crises hydrométriques, im-putables aux changements climatiques. Des fortes pluies intenses et des crues extrêmes des rivières qui causent plus des pertes en vie humaines, provoquent des érosions ; détruisent des infrastructures et en-gloutissent des maisons. D’où, il y a un problème de pénuries d’accès à l’eau potable par la majorité de la population de la ville et la qualité de l’eau est affectée.","(-4.441931, 15.266293)","(-4.038333, 21.758664)"
58569,City of Podgorica,Podgorica,Montenegro,Europe,Public,,2017,Higher water prices,Other,"Although there was a need to increase the price, the costs of improving and maintaining infrastructures were realized from the existing financial resources. However, it is certain that there will be a rise in water prices, but will be taken account of the social element and its availability of all categories of population.","(42.43042, 19.259364)","(42.708678, 19.37439)"
36002,Ville de Kinshasa,Ville de Kinshasa,Democratic Republic of Congo,Africa,Public,,2017,Higher water prices,Use of non-potable water outside,"Description :-Les projec-tions réalisées montrent en général que la RDC et la ville de Kinshasa en particu-lier ne présente pas une vulnérabilité en ressources en eau à l’horizon 2100 et ce, autant plus qu’elle est traversée par plusieurs et même par le fleuve Congo ; qu’elle déverse des milliers de mètres cube d’eaux douces par jour dans l’océan Atlantique. Mais malheureusement, il y a une vulnérabilité liée aux crises hydrométriques, im-putables aux changements climatiques. Des fortes pluies intenses et des crues extrêmes des rivières qui causent plus des pertes en vie humaines, provoquent des érosions ; détruisent des infrastructures et en-gloutissent des maisons. D’où, il y a un problème de pénuries d’accès à l’eau potable par la majorité de la population de la ville et la qualité de l’eau est affectée.","(-4.441931, 15.266293)","(-4.038333, 21.758664)"
35475,City of Calgary,Calgary,Canada,North America,Public,,2017,Increased water stress or scarcity,Watershed preservation,"We take an integrated watershed management approach to protecting public health, conserving our water resources, and supporting the needs of a growing city. This approach considers the whole system to enable opportunities and challenges to be addressed in an innovative, coordinated and efficient way. A Water Supply Management Plan is in development, which will provide a strategic and coordinated framework to protect Calgary’s water supply. For example, in 2015, a source watershed assessment and risk characterization was initiated to understand all risks in the Bow and Elbow watersheds upstream of The City of Calgary’s water treatment plant intakes. The Utilities conduct watershed monitoring and analysis on a daily basis as part of water treatment operations and to inform long term water management.","(51.048615, -114.070846)","(56.130366, -106.346771)"
35475,City of Calgary,Calgary,Canada,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"Investments were made in The City’s water treatment following an assessment conducted in partnership with the Public Infrastructure Engineering Vulnerability Committee (PIEVC) of Engineers Canada. The PIEVC Protocol assessed climate vulnerability and recommended modifications to improve the resilience of The City’s water supply system.
The Utilities continually make investments in operations and maintenance of existing infrastructure. Capital investments are necessary to ensure service levels are maintained or improved and that all federal and provincial regulatory requirements are considered to ensure The City remains in compliance.","(51.048615, -114.070846)","(56.130366, -106.346771)"
35475,City of Calgary,Calgary,Canada,North America,Public,,2017,Flooding,Investment in existing water supply infrastructure,Investments were made in The City’s water treatment following an assessment conducted in partnership with the Public Infrastructure Engineering Vulnerability Committee (PIEVC) of Engineers Canada. The PIEVC Protocol assessed climate vulnerability and recommended modifications to improve the resilience of The City’s water supply system. The Utilities continually make investments in operations and maintenance of existing infrastructure. Capital investments are necessary to ensure service levels are maintained or improved and that all federal and provincial regulatory requirements are considered to ensure The City remains in compliance.,"(51.048615, -114.070846)","(56.130366, -106.346771)"
35475,City of Calgary,Calgary,Canada,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"The capacity of existing drainage infrastructure will require innovative uses of green infrastructure (such as Low Impact Development, raingardens, greenroofs, etc.) and design standards may need to change for new development. This affects localized flooding potential but also water quality draining to the rivers and downstream communities.","(51.048615, -114.070846)","(56.130366, -106.346771)"
35475,City of Calgary,Calgary,Canada,North America,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),"Assess watershed hydrology impacts from climate change trends in temperature and precipitation.  Consider impacts of changes of the seasons with spring occurring earlier. Assess the need for increase water storage, changes to operational protocols for water management, and alternative water supply sources.","(51.048615, -114.070846)","(56.130366, -106.346771)"
50568,City of Saskatoon,Saskatoon,Canada,North America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),,"(52.133214, -106.670046)","(56.130366, -106.346771)"
50568,City of Saskatoon,Saskatoon,Canada,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,,"(52.133214, -106.670046)","(56.130366, -106.346771)"
50568,City of Saskatoon,Saskatoon,Canada,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,,"(52.133214, -106.670046)","(56.130366, -106.346771)"
50559,"City of St Catharines, ON","St Catharines, ON",Canada,North America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,City is investing in watermain replacement projects to replace older watermains.,"(43.1594, -79.2469)","(56.130366, -106.346771)"
35475,City of Calgary,Calgary,Canada,North America,Public,,2017,Increased water stress or scarcity,Water use restrictions,"In an effort to manage water use in times of shortage, the Water Utility Bylaw outlines City of Calgary water restrictions. The bylaw outlines four stages of mandatory restrictions based on the severity of the water shortage. The first stage is the least restrictive while the fourth is the most restrictive.  Many factors are taken into consideration when outdoor water restrictions are implemented. These factors include available water, raw water quality, construction and maintenance of infrastructure, reservoir storage and the nature of the emergency.  The decision to start and stop outdoor water restrictions is made using the judgment and expertise of Water Utility professionals. Each day, we assess our ability to meet the needs of all our customers. 
Preparedness planning will continue to advance by prioritizing and coordinating restrictions across the Corporation considering impacts to green infrastructure and natural systems, as well as collaborating with regional stakeholders.  Collaboration with Provincial regulators will also need to advance considering mulitple water users but also impacts to wastewater treatment requirements.","(51.048615, -114.070846)","(56.130366, -106.346771)"
35475,City of Calgary,Calgary,Canada,North America,Public,,2017,Increased water stress or scarcity,Efficiency regulations or standards,"In 2005, City Council approved the Water Efficiency Plan and Stormwater Management Strategy which outline goals and strategies to address long term health of our watershed. Policy and regulation can be a powerful way to influence behaviours and technology choices. The City leverages close working relationships with internal and external stakeholders to influence regulatory direction to ensure the local context is considered. When policies fall within The City’s jurisdiction, we can enact bylaws to support watershed management. Examples include the low water use fixture bylaw to promote higher levels of water efficiency and the drainage bylaw to promote good drainage development practices.","(51.048615, -114.070846)","(56.130366, -106.346771)"
54617,Alcaldia de Pereira,Pereira,Colombia,Latin America,Public,,2017,Declining water quality,Efficiency regulations or standards,,"(4.808717, -75.690601)","(4.570868, -74.297333)"
59669,City of North Vancouver,North Vancouver,Canada,North America,Public,,2017,Inadequate or aging infrastructure,Municipal water efficiency retrofits,"The City’s water distribution infrastructure is cleaned annually.  The cleaning program is paired with a valve actuation program, which has the added benefit of ensuring all valves in the system are open and maintaining flows in the designed fashion.  The City is also looking to implement a leak detecting program, as per the Water Conservation Strategy.","(49.32, -123.0724)","(56.130366, -106.346771)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"As mentioned before, the city now presents a planning of investments to modernize the infrastructure. The current system is dimensioned to meet new demands resulting of the city growth until 2018.","(-22.744027, -46.937174)","(-14.235004, -51.92528)"
35475,City of Calgary,Calgary,Canada,North America,Public,,2017,Regulatory,Investment in existing water supply infrastructure,"Our future water supply is restricted by growth, climate change impacts and the provincial closure of the South Saskatchewan River Basin to new water licences.  Regulation impacts related to water supply include how water licences from multiple stakeholders will be managed during severe drought and regulations to facilitate water resuse or fit for purpose use.  Regulatory risks also exist around river water quality putting additional pressure on the drainage system to properly manage suspended materials supporting the value for more natural or vegetative processes (green infrastructure, low impact development).  Water quality is also becoming a concern around river water dilution of wastewater effluent.  With climate change showing increased concerns around drought, lower river water levels, and warming water temperatures, the regulatory requirements related to wastewater may change putting additional pressure on treatment.","(51.048615, -114.070846)","(56.130366, -106.346771)"
35475,City of Calgary,Calgary,Canada,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"We support customers with engagement and programs to provide technical assistance or reduce barriers to encourage the adoption of behaviours or actions to benefit the watershed. Examples include hotel and motel toilet rebates, the Yardsmart citizen program to encourage citizens to adopt water wise gardening practices and public outreach and engagement activities to support installation of rain gardens in communities. 
Additional education on where our water comes from, what are the risks to our water supply, how does climate change affect these risks and what can we all do to help manage it.","(51.048615, -114.070846)","(56.130366, -106.346771)"
50555,City of Hamilton,Hamilton,Canada,North America,Public,,2017,Declining water quality,Watershed preservation,"We are supporting a variety of academic research initiatives related to lake water quality, conducting studies related to future potential drinking water treatment requirements as well as participating in watershed based multi-stakeholders programs that are geared towards a better understanding of the climate change impacts, drafting policies that can address climate change related concerns, conducting lake based water quality monitoring, studies etc. Some of these programs are: Source Water Protection Program, Hamilton Harbour Remedial Action Plan, Runoff Task group.","(43.250021, -79.866091)","(56.130366, -106.346771)"
50555,City of Hamilton,Hamilton,Canada,North America,Public,,2017,Increased water stress or scarcity,Water use restrictions,"Certain communities that rely on municipal groundwater supply have outdoor watering bans in place to reduce high water demand during periods of low water supply.
All the municipal water users are being metered and there is a two tier cost based on consumption.","(43.250021, -79.866091)","(56.130366, -106.346771)"
50555,City of Hamilton,Hamilton,Canada,North America,Public,,2017,Increased water stress or scarcity,Water use restrictions,"City of Hamilton in coordination with the local Conservation Authorities and the province the Low Water Response Program. This three level program uses voluntary and then mandatory reductions in water takings.
Furthermore City completed studies that assessed the decline in local groundwater levels. These studies resulted in the recommendation for local policies that prescribe Low Impact Development techniques that promote recharge.","(43.250021, -79.866091)","(56.130366, -106.346771)"
50568,City of Saskatoon,Saskatoon,Canada,North America,Public,,2017,Declining water quality,Conservation awareness and education,,"(52.133214, -106.670046)","(56.130366, -106.346771)"
50559,"City of St Catharines, ON","St Catharines, ON",Canada,North America,Public,,2017,Higher water prices,Conservation awareness and education,A significant portion of the water rates include a volumentric charge (i.e. the more water you use the more you pay). By reducing the water consumed residents will also be able to reduce the amount charged on their water bills.,"(43.1594, -79.2469)","(56.130366, -106.346771)"
50578,City of Windsor,Windsor,Canada,North America,Public,,2017,Declining water quality,Stormwater management (natural or man-made infrastructure),"Through education as well as infrastructure improvements, the City of Windsor is looking to reduce the negative impacts of stormwater into the Detroit River through addressing combined sewer overflows.  The City has installed a Retention Treatment Basin to manage a large portion of the combined sewer overflows to the Detroit River, the City also continues to separate sewers.  Awareness campaigns are used to educate the public about the use of the sewer system.  The City of Windsor is also partners with the Detroit River Canadian Clean Up organizations.  Source water protection plans are also in place to protect drinking water supplies.","(42.314937, -83.036363)","(56.130366, -106.346771)"
50578,City of Windsor,Windsor,Canada,North America,Public,,2017,Increased water stress or scarcity,Stormwater management (natural or man-made infrastructure),The City of Windsor is investigating the use of green infrastructure to manage rainwater where it falls.  This addresses declining water quality as well as maintains the water balance in our natural spaces and across the City.,"(42.314937, -83.036363)","(56.130366, -106.346771)"
54617,Alcaldia de Pereira,Pereira,Colombia,Latin America,Public,,2017,Flooding,Conservation awareness and education,,"(4.808717, -75.690601)","(4.570868, -74.297333)"
59669,City of North Vancouver,North Vancouver,Canada,North America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Goal to reduce total per capita consumption by 10% by 2040
Implementation of the City’s Water Conservation Strategy includes a number of specific water conservation actions including: property connection program, lawn watering restrictions, education and outreach, seasonal water rates, building efficiency standards, and leak detection programs.","(49.32, -123.0724)","(56.130366, -106.346771)"
59669,City of North Vancouver,North Vancouver,Canada,North America,Public,,2017,Flooding,Watershed preservation,"Integrated Storm Water Management Plan
In collaboration with the District of North Vancouver, the City is developing an Integrated Stormwater Management Plan which combines land-use planning, environmental protection, and stormwater management to protect developed lands and natural habitat, while still allowing for long-term urban and economic development.","(49.32, -123.0724)","(56.130366, -106.346771)"
59669,City of North Vancouver,North Vancouver,Canada,North America,Public,,2017,Declining water quality,Investment in existing water supply infrastructure,"The City purchases water from the regional district, Metro Vancouver, and distributes it to all city residents and businesses. This City is required to meet the stringent water quality standards that are reviewed and enforced by Vancouver Coastal Health. As part of this program, water quality is sampled at a minimum of every two weeks, for testing by Metro Vancouver.","(49.32, -123.0724)","(56.130366, -106.346771)"
43928,Canberra,Canberra,Australia,South Asia and Oceania,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),"The ACT has mitigated short to medium-term water supply security risks by recently completing two major construction projects: 1. Construction of an enlarged Cotter Dam, completed in October 2013 at a cost of AUD$410m, has increased the ACT’s water storage capacity by 35%; and 2. Construction of the Murrumbidgee to Googong Water Transfer Pipeline, completed in September 2012 at a cost of AUD$140m.  The ACT’s long term water security is managed through day-to-day permanent water conservation measures to ensure supply through extended dry periods. The utility established these water conservation measures by basing modelling on 2030 climate change impacts. Prior to water conservation measures, Canberra’s annual water consumption averaged between 60-65 GL. Since water conservation measures were put in place, overall water consumption figures dropped to 47.8 GL during 2012-13, and 47.1 GL during 2014-15 representing a 27% saving in per capita demand relative to 1993-2002 levels. In very extended dry periods, when storage levels are low, water can be pumped from two pump stations located on the upper Murrumbidgee River. For even more protracted dry periods, when the river’s natural flows are low, extra water can be sourced through water trading and through the arranged releases from Snowy Hydro Limited’s Tantangara Reservoir as part of a portfolio of water rights already acquired. Building supply system resilience is a risk management measure. In this context, resilience includes the following: 1. a diverse range of independent water sources and demand management measures; such as accessing more reliable water catchments or less rainfall dependant sources, or implementing a range of unrelated but concurrent demand management measures. 2. system interconnectivity to take advantage of any excesses in the system; such as gridding of water sources (the Cotter Googong Bulk Water Transfer is one example of interconnectivity already in place) 3. planning flexibility; allowing implementation of the responses best suited to actual emerging futures. There is an expectation that parallel severe drought contingency plans will be prepared. Drought contingency plans comprise more short-term emergency response plans that will ensure that basic water needs for a community can be met for the duration of a very severe drought.","(-35.3075, 149.1244)","(-25.274398, 133.775136)"
32480,City of Adelaide,Adelaide,Australia,South Asia and Oceania,Public,,2017,Increased water stress or scarcity,Use of non-potable water outside,"Use of recycled water provided by the Glenelg-Adelaide pipeline for irrigation of the park lands. The Adelaide Desalination Plant was built to provide long-term water security for South Australia. The plant has been delivering drinking water since 2011 and contributes to the water supply mix of the City of Adelaide. In full operation, the plant is capable of delivering 100 gigalitres of water per year, which is approximately half of metropolitan Adelaide's annual water requirements.","(-34.928499, 138.600746)","(-25.274398, 133.775136)"
32480,City of Adelaide,Adelaide,Australia,South Asia and Oceania,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"The City of Adelaide Administration checks local flood management practices and maps 1:100 year flood events against development proposals and Council projects. We are also involved with neighbouring councils and the South Australian Government in flood planning, for example, developing the Brownhill and Keswick Creek and Eastern Region Stormwater management plans. Funding of $140 million has been committed which will deliver more than $240 million in community benefit in terms of damage mitigation, reducing flood impacts on Adelaide Airport, minimising economic disruption and improving stormwater quality across the catchment.","(-34.928499, 138.600746)","(-25.274398, 133.775136)"
36036,City of Ibadan,Ibadan,Nigeria,Africa,Public,,2017,Flooding,Efficiency regulations or standards,,"(7.377535, 3.94704)","(9.081999, 8.675277)"
32480,City of Adelaide,Adelaide,Australia,South Asia and Oceania,Public,,2017,Higher water prices,Conservation incentives,Provide financial incentives in the community for rainwater tank installation.,"(-34.928499, 138.600746)","(-25.274398, 133.775136)"
32480,City of Adelaide,Adelaide,Australia,South Asia and Oceania,Public,,2017,Regulatory,Diversifying water supply (including new sources),Transition groundwater supplies to recycled water by connecting to the Glenelg-Adelaide pipeline.,"(-34.928499, 138.600746)","(-25.274398, 133.775136)"
32480,City of Adelaide,Adelaide,Australia,South Asia and Oceania,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,Adopting water sensitive urban design methodologies into infrastructure plans and projects.,"(-34.928499, 138.600746)","(-25.274398, 133.775136)"
54617,Alcaldia de Pereira,Pereira,Colombia,Latin America,Public,,2017,Water losses,Stormwater management (natural or man-made infrastructure),,"(4.808717, -75.690601)","(4.570868, -74.297333)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,Public,,2017,Flooding,Investment in existing water supply infrastructure,"Regarding to flooding on the specific aspect of water supply, the actions are also aimed at modernizing the infrastructure. As such, as mentioned before, the city now presents a planning of investments to modernization.","(-22.744027, -46.937174)","(-14.235004, -51.92528)"
35995,City of Brasília,Brasília,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Watershed preservation,"(i) the implementation of the Integrated Management Plan for Water Resources (PGIRH), approved by the Board of Water Resources Council of Federal District, in 2012; (ii) awareness and involvment of the three committees Watershed DF; (iii) the completion of the governmental proposal of the Ecological Economic Zoning by july, 2014, ensuring the integration of policies and instruments of territorial management , with strong focus on water resources; (iv) the implementation of Brasilia-Park program, creating green spaces; (v) improving the planning and management of projects (environmental licensing and granting of uptake / release of water used in rivers, (vi) the management of the ""Adopt a spring "" program, (vii) the implementation of water harvesting in neighboring state, the reservoir "" Corumbá "" and Paranoá reservoir (lake city).","(-15.794229, -47.882166)","(-14.235004, -51.92528)"
35995,City of Brasília,Brasília,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,Urban drainage has not yet been addressed.,"(-15.794229, -47.882166)","(-14.235004, -51.92528)"
35995,City of Brasília,Brasília,Brazil,Latin America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"Implementation of the situation room for critical events , establishing intersectorial participation among government institutions ( such as environmental institutions , civil defense , fire , transport institutions , among others ) to monitor , prevent and deal with flooding , ( ii ) conclusion of the Zoning ecological Economic with guidelines definition for susceptible flooding areas.","(-15.794229, -47.882166)","(-14.235004, -51.92528)"
35995,City of Brasília,Brasília,Brazil,Latin America,Public,,2017,Declining water quality,Watershed preservation,"(i) setting thresholds and qualification of the intensity of land use, due to the risks to the water supply (ZEE- DF); (ii) review of the environmental licensing with increasing rigor in the uptake and release of polluted water into water bodies, (iii) the adoption of quality goals for surface water stretch of the river by the Board of Water Resources of the Federal District - CRH/DF with goals for 20 years, (iv) the CRH/DF communication plan.","(-15.794229, -47.882166)","(-14.235004, -51.92528)"
60419,Municipalidad de Rio Grande,Rio Grande,Argentina,Latin America,Public,,2017,Inadequate or aging infrastructure,Diversifying water supply (including new sources),Construccion de nueva planta potabiliadora de agua con mayor capacidad,"(-53.786, -67.7002)","(-38.416097, -63.616672)"
50357,Ciudad de Mendoza,Mendoza,Argentina,Latin America,Public,,2017,Inadequate or aging infrastructure,Water use restrictions,"Horario de restricción  establecido para el riego de jardines con fuertes multas en caso de infracción.
La aprobación de proyectos edilicios de cierta escala exige la tramitación de la factibilidad de agua a fin de  implementar un aviso de proyecto que le notifique a la empresa proveedora del servicio la necesidad de adecuar la red a la mayor demanda.","(-32.889459, -68.845839)","(-38.416097, -63.616672)"
54627,Prefeitura de Joinville,Joinville,Brazil,Latin America,Public,,2017,Declining water quality,Other,Ampliação da unidade de tratamento. Ampliar as unidades de tratamento para que as mesmas tenham capacidade de tratar altas cargas de turbidez causadas pelos eventos naturais.,"(-26.300964, -48.840707)","(-14.235004, -51.92528)"
50374,Alcaldia Distrital de Cartagena de Indias,Cartagena,Colombia,Latin America,Public,,2017,Declining water quality,Conservation awareness and education,,"(10.421855, -75.550096)","(4.5709, -74.2973)"
50374,Alcaldia Distrital de Cartagena de Indias,Cartagena,Colombia,Latin America,Public,,2017,Water losses,Conservation awareness and education,,"(10.421855, -75.550096)","(4.5709, -74.2973)"
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,Public,,2017,Higher water prices,Conservation incentives,,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
69825,Municipalidad de Viedma,Viedma,Argentina,Latin America,Public,,2017,Declining water quality,Other,"El  Intendente Municipal  realizó un acuerdo con el gobierno nacional, quién financiará estudios para ampliar la red cloacal de Viedma","(-40.810253, -62.995996)","(-38.416097, -63.616672)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Use of non-potable water outside,"The EPAR (Reuse Water Producer Station) Capivari II, inaugurated in 2012, is the first large-scale station to make use of membrane filtration technology for treated sewage. This technology, called MBR (""Membrane Bioreactor"") allows the production of water with very high quality and can be reused for non-potable uses. Campinas is located in a region with a high degree of industrialization and hence high demand for water for industrial use. Thus, the EPAR is a highly viable and sustainable alternative for the supply of recycled water in the region.

Implementation of raw water dams that are in phase of study and planning

Implementation of new water distribution centers in order to increase the detention time","(-22.744027, -46.937174)","(-14.235004, -51.92528)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,Public,,2017,Declining water quality,Conservation awareness and education,"SANASA (municipal water and sanitation company) conducts educational campaigns (alone or in partnership with NGOs) at municipal schools, aiming to raise awareness about the protection of water sources and water courses.","(-22.744027, -46.937174)","(-14.235004, -51.92528)"
50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,Public,,2017,Higher water prices,Stormwater management (natural or man-made infrastructure),Aumento na conta de água e luz.,"(-23.36122, -46.740187)","(-14.235004, -51.92528)"
